variant,bias,subset,n,win_rate,win_rate_ci_low,win_rate_ci_high,expectancy_R,expectancy_ci_low,expectancy_ci_high,expectancy_significant,p_target,p_stop,avg_win_R,avg_loss_R
v4_buffer_2R,gap_dir,aligned,224,0.3080357142857143,0.25,0.3705357142857143,-0.13636726744892153,-0.3144959482073348,0.04851056391928413,False,0.30357142857142855,0.6875,1.9252207810693052,-1.060065808668127
v4_buffer_2R,gap_dir,against,228,0.36403508771929827,0.3026315789473684,0.4298245614035088,0.0316798068514112,-0.15372113727910913,0.2230157726865041,False,0.35964912280701755,0.631578947368421,1.9268021226914913,-1.0531143463536001
v4_buffer_2R,ema_20,all,453,0.3355408388520971,0.293598233995585,0.37969094922737306,-0.053635492714948586,-0.18532847352226814,0.0785271109942651,False,0.33112582781456956,0.6600441501103753,1.9260842768235253,-1.0566935092811085
v4_buffer_2R,ema_20,aligned,239,0.3263598326359833,0.26778242677824265,0.3891213389121339,-0.07830465583965379,-0.2560350234279308,0.10376100312192744,False,0.32217573221757323,0.6694560669456067,1.9308190446019735,-1.0516689330722435
v4_buffer_2R,ema_20,against,212,0.3490566037735849,0.28773584905660377,0.41509433962264153,-0.01632556717078918,-0.21307767998787383,0.1763694087144769,False,0.3443396226415094,0.6462264150943396,1.9210935756516476,-1.062814739206266
v5_pct_or_30_2R,prev_close_dir,all,453,0.33995584988962474,0.2980132450331126,0.3841059602649007,-0.026642034671320678,-0.15191983535407946,0.1036940207592634,False,0.31788079470198677,0.6379690949227373,1.8848339559997185,-1.014451774816757
v5_pct_or_30_2R,prev_close_dir,aligned,231,0.3116883116883117,0.2510822510822511,0.3722943722943723,-0.1085552382372963,-0.2843474725911219,0.0741171329729268,False,0.2943722943722944,0.6666666666666666,1.8865547456563594,-1.0120012686797064
v5_pct_or_30_2R,prev_close_dir,against,220,0.37272727272727274,0.3090909090909091,0.43636363636363634,0.06916186580683922,-0.11680626783202261,0.25632315593412525,False,0.34545454545454546,0.6045454545454545,1.8833230187402286,-1.0166864155109556
v5_pct_or_30_2R,gap_dir,all,453,0.33995584988962474,0.2980132450331126,0.3841059602649007,-0.026642034671320678,-0.15191983535407946,0.1036940207592634,False,0.31788079470198677,0.6379690949227373,1.8848339559997185,-1.014451774816757
v5_pct_or_30_2R,gap_dir,aligned,224,0.3080357142857143,0.25,0.3705357142857143,-0.11701518491394773,-0.2947162356185784,0.061166919160482995,False,0.2857142857142857,0.6651785714285714,1.885011074204548,-1.0140269503631438
v5_pct_or_30_2R,gap_dir,against,228,0.37280701754385964,0.31140350877192985,0.43859649122807015,0.0663432484142433,-0.11876913748950038,0.2599119839532956,False,0.3508771929824561,0.6096491228070176,1.8846901776922684,-1.0144923389188485
v5_pct_or_30_2R,ema_20,all,453,0.33995584988962474,0.2980132450331126,0.3841059602649007,-0.026642034671320678,-0.15191983535407946,0.1036940207592634,False,0.31788079470198677,0.6379690949227373,1.8848339559997185,-1.014451774816757
v5_pct_or_30_2R,ema_20,aligned,239,0.3389121338912134,0.2803347280334728,0.401673640167364,-0.046809247110359845,-0.21861467529840253,0.1302361771384843,False,0.3054393305439331,0.6401673640167364,1.8339088607185114,-1.0109748593517431
v5_pct_or_30_2R,ema_20,against,212,0.3443396226415094,0.2830188679245283,0.4056603773584906,0.005960183119707796,-0.1876436140790261,0.19873589755422622,False,0.33490566037735847,0.6320754716981132,1.9413398836405096,-1.0178276294746296
v6_confirm_or,prev_close_dir,all,413,0.29055690072639223,0.24939467312348668,0.3365617433414044,-0.08809590815948488,-0.24846131419387446,0.08212598794029963,False,0.2397094430992736,0.6924939467312349,2.2172001397889374,-1.0322444602202725
v6_confirm_or,prev_close_dir,aligned,206,0.2524271844660194,0.1941747572815534,0.3155339805825243,-0.30342131441220144,-0.4933123203046391,-0.10059050494908311,False,0.20388349514563106,0.7281553398058253,1.8584537553975158,-1.03340510421808
v6_confirm_or,prev_close_dir,against,205,0.33170731707317075,0.2634146341463415,0.4,0.13760941485335826,-0.12934608136843107,0.40841690268701053,False,0.2780487804878049,0.6536585365853659,2.4915356102059074,-1.0307627113070315
v6_confirm_or,gap_dir,all,413,0.29055690072639223,0.24939467312348668,0.3365617433414044,-0.08809590815948488,-0.24846131419387446,0.08212598794029963,False,0.2397094430992736,0.6924939467312349,2.2172001397889374,-1.0322444602202725
v6_confirm_or,gap_dir,aligned,203,0.30049261083743845,0.23645320197044334,0.3645320197044335,-0.037630016382397394,-0.2750468561992952,0.22038591382229675,False,0.23645320197044334,0.6896551724137931,2.2953583548040775,-1.0398292462582777
v6_confirm_or,gap_dir,against,209,0.2822966507177033,0.22009569377990432,0.3444976076555024,-0.1324553984818284,-0.34700245516149253,0.11192174246249059,False,0.24401913875598086,0.69377990430622,2.136392493756336,-1.0248689027621731
v6_confirm_or,ema_20,all,413,0.29055690072639223,0.24939467312348668,0.3365617433414044,-0.08809590815948488,-0.24846131419387446,0.08212598794029963,False,0.2397094430992736,0.6924939467312349,2.2172001397889374,-1.0322444602202725
v6_confirm_or,ema_20,aligned,220,0.2863636363636364,0.22727272727272727,0.34545454545454546,-0.1708558703083099,-0.37154706265511833,0.04172976376722481,False,0.22272727272727272,0.6909090909090909,1.963111118396433,-1.0271610950751815
v6_confirm_or,ema_20,against,191,0.29842931937172773,0.2356020942408377,0.36649214659685864,0.01724309289975448,-0.24281075059986543,0.2944924689956622,False,0.2617801047120419,0.6910994764397905,2.498035373959601,-1.0380192953122698
v7_buffer_confirm_2R,prev_close_dir,all,413,0.3583535108958838,0.31234866828087166,0.4043583535108959,-0.01669301054604734,-0.14513297666752978,0.11365205209018578,False,0.3075060532687651,0.6271186440677966,1.788763337093942,-1.025023348095928
v7_buffer_confirm_2R,prev_close_dir,aligned,206,0.33980582524271846,0.2766990291262136,0.4029126213592233,-0.09819336963257469,-0.27936626390444674,0.08457119131737263,False,0.2669902912621359,0.6456310679611651,1.7073073238970764,-1.0274951971846011
v7_buffer_confirm_2R,prev_close_dir,against,205,0.3804878048780488,0.3121951219512195,0.44878048780487806,0.07519132566318865,-0.11861045466825974,0.26737911088193267,False,0.35121951219512193,0.6048780487804878,1.8618648873988213,-1.0221357437492473
v7_buffer_confirm_2R,gap_dir,all,413,0.3583535108958838,0.31234866828087166,0.4043583535108959,-0.01669301054604734,-0.14513297666752978,0.11365205209018578,False,0.3075060532687651,0.6271186440677966,1.788763337093942,-1.025023348095928
v7_buffer_confirm_2R,gap_dir,aligned,203,0.35467980295566504,0.29064039408866993,0.4236453201970443,-0.02750830330991989,-0.21492505568914627,0.165831736329512,False,0.30049261083743845,0.6354679802955665,1.7951269726014933,-1.029262042742147
v7_buffer_confirm_2R,gap_dir,against,209,0.36363636363636365,0.2966507177033493,0.430622009569378,-0.0012212117849564094,-0.18813276397162268,0.1862695573225378,False,0.3157894736842105,0.6172248803827751,1.7827346297709987,-1.0206245498169308
v7_buffer_confirm_2R,ema_20,all,413,0.3583535108958838,0.31234866828087166,0.4043583535108959,-0.01669301054604734,-0.14513297666752978,0.11365205209018578,False,0.3075060532687651,0.6271186440677966,1.788763337093942,-1.025023348095928
v7_buffer_confirm_2R,ema_20,aligned,220,0.36818181818181817,0.30454545454545456,0.4318181818181818,-0.004704236415402415,-0.18570651738221036,0.1741618206515517,False,0.3,0.6136363636363636,1.7394810649361636,-1.0210999875627178
v7_buffer_confirm_2R,ema_20,against,191,0.3507853403141361,0.28272251308900526,0.418848167539267,-0.019783666868943395,-0.21569793793003095,0.18196245662894364,False,0.3193717277486911,0.6387434554973822,1.848343397463794,-1.0291749032422775
v8_pct_or_30_confirm_2R,prev_close_dir,all,413,0.3389830508474576,0.2929782082324455,0.38498789346246975,-0.050023304362165635,-0.18150373314892507,0.0837152192070642,False,0.3050847457627119,0.639225181598063,1.8253974679235085,-1.0117775465599474
v8_pct_or_30_confirm_2R,prev_close_dir,aligned,206,0.3155339805825243,0.2524271844660194,0.3786407766990291,-0.135799626620836,-0.31476811271799016,0.046494527595940714,False,0.27184466019417475,0.6601941747572816,1.7579810079963074,-1.0088190681110087
v8_pct_or_30_confirm_2R,prev_close_dir,against,205,0.36585365853658536,0.3023170731707322,0.43414634146341463,0.04598773967140048,-0.14800913188855647,0.24361287250008073,False,0.34146341463414637,0.6146341463414634,1.883825066527083,-1.0143030258222627
v8_pct_or_30_confirm_2R,gap_dir,all,413,0.3389830508474576,0.2929782082324455,0.38498789346246975,-0.050023304362165635,-0.18150373314892507,0.0837152192070642,False,0.3050847457627119,0.639225181598063,1.8253974679235085,-1.0117775465599474
v8_pct_or_30_confirm_2R,gap_dir,aligned,203,0.3399014778325123,0.27586206896551724,0.4088669950738916,-0.05258720109217465,-0.24304303047594358,0.14010097216084708,False,0.30049261083743845,0.645320197044335,1.8137893452796794,-1.0136318406418605
v8_pct_or_30_confirm_2R,gap_dir,against,209,0.3397129186602871,0.27751196172248804,0.40669856459330145,-0.04263324787458788,-0.22853256511516498,0.14504338671841782,False,0.31100478468899523,0.631578947368421,1.83667860119709,-1.0095255760201614
v8_pct_or_30_confirm_2R,ema_20,all,413,0.3389830508474576,0.2929782082324455,0.38498789346246975,-0.050023304362165635,-0.18150373314892507,0.0837152192070642,False,0.3050847457627119,0.639225181598063,1.8253974679235085,-1.0117775465599474
v8_pct_or_30_confirm_2R,ema_20,aligned,220,0.3409090909090909,0.2772727272727273,0.40011363636363473,-0.06574244535308693,-0.23943648333845632,0.10961576106084801,False,0.2909090909090909,0.6318181818181818,1.7472262092039246,-1.0034848528825757
v8_pct_or_30_confirm_2R,ema_20,against,191,0.3403141361256545,0.27225130890052357,0.4083769633507853,-0.02138166740092142,-0.2197609780785429,0.18263747543805528,False,0.32460732984293195,0.643979057591623,1.9155950741384133,-1.0206157007347054
